Component,Quantity,Approx Cost (INR),Purchase Link
PIR Motion Sensor (HC-SR501),1,120,https://robu.in/product/hc-sr501-pir-motion-sensor-module/
5mm LED,1,5,https://robu.in/product/5mm-red-led-pack-of-10/
220 Ohm Resistor,1,2,https://robu.in/product/220-ohm-1-4w-carbon-film-resistor-pack-of-100/
Breadboard,1,100,https://robu.in/product/830-point-solderless-breadboard/
Jumper Wires (Male-to-Male),1 Set,40,https://robu.in/product/40-pin-male-to-male-jumper-wire/
9V Battery,1,40,https://robu.in/product/9v-heavy-duty-battery/
9V Battery Clip,1,20,https://robu.in/product/9v-battery-connector-clip/
